Place Name,Things to See,Activities to Do,Things to Eat,Cost per day,Distance
Chicago IL,Willis Tower (Skydeck); Millennium Park (Cloud Gate); Navy Pier; Art Institute of Chicago; Magnificent Mile,architecture river cruise; blues club show; game at Wrigley Field; bike the Lakefront Trail; museum visits,deep-dish pizza; Chicago hot dog; Italian beef sandwich; Garrett popcorn; Polish sausage,323,Far
Denver CO,Red Rocks Amphitheatre; Denver Art Museum; Colorado State Capitol; Larimer Square; Botanic Gardens,hiking nearby Rockies; brewery tours; skiing at nearby resorts; concert at Red Rocks; biking in city parks,Rocky Mountain oysters; green chili; bison burger; craft beer; Denver omelette,248,Far
Glacier National Park MT,Going-to-the-Sun Road; Lake McDonald; Many Glacier; Logan Pass; Grinnell Glacier,drive Going-to-the-Sun; hiking to glaciers; wildlife spotting; kayaking on lakes; camping,huckleberry pie; bison stew; trout almondine; chokecherry jam; frybread,210,Far
Grand Canyon National Park AZ,South Rim vistas; Grand Canyon Village; Bright Angel Trail; North Rim; Havasu Falls,hiking into the canyon; mule rides; whitewater rafting; scenic helicopter flight; ranger talks,Navajo frybread taco; prickly pear candy; mesquite-grilled steak; cactus fries; sunrise coffee on the rim,203,Far
Honolulu HI,Waikīkī Beach; Pearl Harbor (USS Arizona); Diamond Head; Iolani Palace; Hanauma Bay,surfing at Waikīkī; snorkeling in Hanauma Bay; attending a luau; hiking Diamond Head; shopping at Ala Moana,poke bowls; spam musubi; shave ice; malasadas; plate lunch,322,Far
Houston TX,Space Center Houston; Museum of Natural Science; Buffalo Bayou Park; Waterwall Park; Minute Maid Park,NASA tram tour; explore Museum District; stroll Buffalo Bayou Park; shop at the Galleria; attend a rodeo show,Tex-Mex fajitas; Viet-Cajun crawfish; chili con carne; smoked brisket; kolaches,287,Far
Jackson Hole WY,Grand Teton NP; Town Square antler arches; National Elk Refuge; Jackson Hole Mtn Resort; Yellowstone (south entrance),skiing at Jackson Hole; wildlife safari in Elk Refuge; rafting Snake River; horseback riding; rodeo night,bison burger; elk chili; huckleberry shake; trout almondine; Rocky Mountain oysters,300,Far
Joshua Tree National Park CA,Joshua Tree groves; Skull Rock; Keys View; Cholla Cactus Garden; Hidden Valley,rock climbing; stargazing; hiking Hidden Valley; bouldering at Skull Rock; geology driving tour,date shakes; mesquite BBQ; chili; prickly pear candy; s'mores,210,Far
Key West FL,Mallory Square; Ernest Hemingway Home; Southernmost Point buoy; Duval Street; Fort Zachary Taylor,sunset celebration at Mallory; snorkeling coral reefs; Duval Street bar crawl; deep-sea fishing; tour Hemingway House,key lime pie; conch fritters; Cuban sandwich; stone crab claws; pink shrimp,300,Far
Lake Tahoe CA/NV,Emerald Bay; Sand Harbor; Heavenly Gondola; Squaw Valley Resort; Vikingsholm Castle,skiing/snowboarding; boating & kayaking; hiking Tahoe Rim Trail; casino gaming; mountain biking,rainbow trout; buffalo burger; hearty chili; sourdough pancakes; craft beer,210,Far
Las Vegas NV,Las Vegas Strip; Bellagio Fountains; Fremont Street; The Venetian canals; High Roller wheel,casino gambling; Cirque du Soleil show; nightclub parties; pool cabana lounging; thrill rides at Stratosphere,shrimp cocktail; prime rib; all-you-can-eat buffet; gourmet burgers; extravagant desserts,369,Far
Los Angeles CA,Hollywood Sign; Griffith Observatory; Santa Monica Pier; The Getty Center; Hollywood Walk of Fame,beach day at Venice; movie studio tour; hike Runyon Canyon; shop on Rodeo Drive; visit Universal Studios,fish tacos; In-N-Out Burger; Korean BBQ; avocado toast; French dip sandwich,300,Far
Louisville KY,Churchill Downs; Kentucky Derby Museum; Louisville Slugger Museum; Muhammad Ali Center; Big Four Bridge,watch horse races; bourbon distillery tour; attend the Derby (May); riverboat cruise; zip-line Mega Cavern,Hot Brown; burgoo stew; Derby pie; bourbon balls; fried chicken,175,Far
Memphis TN,Graceland; Beale Street; Sun Studio; Civil Rights Museum; Stax Museum,blues on Beale Street; tour Graceland; watch Peabody ducks; Mississippi riverboat cruise; studio tours,dry-rub ribs; pulled pork; fried catfish; fried chicken; banana pudding,199,Far
Miami FL,South Beach; Ocean Drive Art Deco; Vizcaya Museum; Little Havana; Wynwood Walls,sunbathing on South Beach; clubbing in Miami Beach; boat tour on Biscayne Bay; gallery hopping in Wynwood; salsa dancing in Little Havana,Cuban sandwich; stone crab claws; key lime pie; ceviche; Cuban coffee,258,Far
Myrtle Beach SC,Boardwalk & SkyWheel; Broadway at the Beach; Brookgreen Gardens; Ripley's Aquarium; Family Kingdom Park,swimming & sunbathing; mini-golfing; pier fishing; dinner theater shows; shopping for souvenirs,Calabash seafood; hush puppies; shrimp and grits; she-crab soup; funnel cake,210,Far
Nashville TN,Grand Ole Opry; Country Music Hall of Fame; Broadway honky-tonks; Ryman Auditorium; Parthenon replica,live music on Broadway; tour RCA Studio B; show at the Opry; line dancing at a honky-tonk; visit Johnny Cash Museum,hot chicken; buttermilk biscuits; meat-and-three; Goo Goo Cluster; hot fish,202,Far
New Orleans LA,French Quarter; Bourbon Street; Jackson Square; St. Louis Cathedral; Garden District,listen to live jazz; steamboat cruise on Mississippi; Mardi Gras parade (seasonal); swamp tour; French Quarter ghost tour,beignets; gumbo; jambalaya; po'boys; crawfish étouffée,271,Far
New York City NY,Statue of Liberty; Central Park; Times Square; Empire State Building; Metropolitan Museum of Art,Broadway show; ferry to Liberty Island; museum tours; walk in Central Park; shopping on Fifth Avenue,New York pizza; bagels with schmear; NY cheesecake; pastrami on rye; street hot dogs,163,Near
Niagara Falls NY,Horseshoe Falls; American Falls; Goat Island; Prospect Point; Cave of the Winds,Maid of the Mist boat ride; Cave of the Winds walk; hike the Gorge trails; helicopter tour; Niagara wine tasting,Buffalo wings; beef on weck; sponge candy; New York pizza; fish fry,146,Far
Orlando FL,Magic Kingdom; Epcot; Universal Studios; Disney's Animal Kingdom; Kennedy Space Center,thrill rides at parks; meet Disney characters; water park fun; shop at Disney Springs; watch fireworks shows,Dole Whip; giant turkey leg; butterbeer; fried gator bites; key lime pie,368,Far
Outer Banks NC,Cape Hatteras Lighthouse; Wright Brothers Memorial; Jockey's Ridge; Ocracoke Island; Bodie Island Light,beachcombing; kite flying at Jockey's Ridge; pier fishing; wild horse safari; ferry to Ocracoke,Hatteras clam chowder; soft-shell crab; hush puppies; Duck Donuts; fish tacos,210,Far
Palm Springs CA,Aerial Tramway; Indian Canyons; Palm Canyon Drive; Windmill farms; Moorten Botanical Garden,golfing at resorts; spa relaxation; architecture tours; hiking in canyons; poolside lounging,date shakes; bacon-wrapped dates; fresh citrus salads; street tacos; steak dinner,210,Far
Park City UT,Historic Main Street; Park City Mountain Resort; Deer Valley Resort; Utah Olympic Park; Alpine Slide,skiing & snowboarding; mountain biking; Sundance Film Festival; bobsled at Olympic Park; Main Street shopping,bison chili; elk steak; Rocky Mountain oysters; cheese fondue; craft whiskey,370,Far
Philadelphia PA,Liberty Bell; Independence Hall; Art Museum (Rocky Steps); Eastern State Penitentiary; Reading Terminal Market,run up the Rocky Steps; historic Old City tour; museum hopping; cheesesteak taste-test; mural arts tour,cheesesteak; roast pork sandwich; soft pretzel; hoagie; water ice,84,Near
Portland OR,Powell's City of Books; International Rose Garden; Pittock Mansion; Lan Su Chinese Garden; Saturday Market,food cart hopping; biking the city; brewery tours; hiking in Forest Park; farmers market browsing,Voodoo Doughnut; food cart tacos; craft beer; Stumptown coffee; marionberry pie,211,Far
Rocky Mountain National Park CO,Trail Ridge Road; Bear Lake; Longs Peak; Alberta Falls; Moraine Park (elk),hiking alpine trails; drive Trail Ridge Road; wildlife watching; camping under stars; winter snowshoeing,rainbow trout; elk burger; bison chili; Rocky Mountain oysters; s'mores,210,Far
San Antonio TX,The Alamo; River Walk; Mission San José; Tower of the Americas; Market Square,riverboat cruise; tour the Alamo; explore Missions Trail; shop at Market Square; rides at Six Flags,puffy tacos; breakfast tacos; chili con carne; barbacoa tacos; churros,161,Far
San Diego CA,Balboa Park; San Diego Zoo; USS Midway Museum; La Jolla Cove; Gaslamp Quarter,surfing at Pacific Beach; visit SeaWorld; hike Torrey Pines; sailing in the bay; Gaslamp nightlife,fish tacos; carne asada fries; California burrito; craft beer; In-N-Out Burger,233,Far
San Francisco CA,Golden Gate Bridge; Alcatraz Island; Fisherman's Wharf; Chinatown; Golden Gate Park,ride a cable car; Alcatraz tour; bay ferry cruise; explore Chinatown; visit SFMOMA,sourdough bread; Dungeness crab; Mission burrito; cioppino; dim sum,251,Far
Santa Fe NM,Santa Fe Plaza; Palace of the Governors; Loretto Chapel; Canyon Road galleries; Georgia O'Keeffe Museum,gallery hopping; museum visits; hiking Sangre de Cristos; attend Indian Market; cooking class (New Mexican cuisine),green chile stew; red & green chile enchiladas; tamales; sopapillas with honey; biscochitos,210,Far
Savannah GA,Forsyth Park; Historic District squares; River Street; Bonaventure Cemetery; Wormsloe Oak Avenue,historic trolley tour; riverboat cruise; ghost tour at night; stroll through squares; antique shopping,pralines; shrimp and grits; peach cobbler; fried chicken; Lowcountry boil,202,Far
Seattle WA,Space Needle; Pike Place Market; Chihuly Garden; Pioneer Square; Waterfront,sip coffee at original Starbucks; ferry to Bainbridge; watch fish tossing at market; underground tour; visit MoPOP museum,coffee; grilled salmon; clam chowder; oysters; teriyaki,242,Far
Sedona AZ,Cathedral Rock; Chapel of the Holy Cross; Bell Rock; Slide Rock State Park; Tlaquepaque Arts Village,hiking red rock trails; meditation at vortexes; jeep tours; stargazing; art gallery shopping,frybread Navajo taco; cactus fries; prickly pear candy; mesquite-grilled steak; jalapeño cornbread,200,Far
Washington D.C.,U.S. Capitol; The White House; Lincoln Memorial; Washington Monument; Smithsonian Museums,tour the Capitol; museum hopping on Mall; monuments by night; explore Georgetown; see cherry blossoms (spring),half-smoke chili dog; wings with mumbo sauce; Maryland crab cakes; jumbo slice pizza; Ethiopian injera platter,200,Near
Yellowstone National Park WY/MT,Old Faithful geyser; Grand Prismatic Spring; Yellowstone Lake; Mammoth Hot Springs; Grand Canyon of Yellowstone,geyser watching; wildlife spotting (bison/elk); hiking trails; camping; fishing in rivers,bison burger; huckleberry ice cream; trout dinner; elk stew; cowboy chili,181,Far
Yosemite National Park CA,Yosemite Valley; El Capitan; Half Dome; Yosemite Falls; Glacier Point,hiking to waterfalls; rock climbing; photography; scenic drives; wildlife viewing,granola trail mix; rainbow trout; sourdough pancakes; campfire coffee; s'mores,210,Far
Pittsburgh PA,Phipps Conservatory; The Andy Warhol Museum; Point State Park; Mount Washington overlook; Carnegie Museum of Natural History,riding the Duquesne Incline; catching a Steelers game; cruising the Three Rivers; biking the riverfront trails; visiting art museums,Primanti Bros. sandwich; Pierogies; Heinz ketchup-flavored dishes; Chipped ham BBQ; Burnt almond torte,220,Near
The Poconos PA,Bushkill Falls; Delaware Water Gap; Lake Wallenpaupack; Jim Thorpe village; Camelback Mountain,hiking scenic trails; skiing and snowboarding; boating and fishing; visiting indoor waterparks; zip-lining through forests,Smoked meats; Maple syrup treats; Artisanal farm cheeses; Pierogies; Craft brews,210,Near
Atlantic City NJ,Boardwalk & beach; Casino resorts; Steel Pier; Absecon Lighthouse; Lucy the Elephant,gambling at casinos; strolling the Boardwalk; attending live shows; sunbathing on the beach; shopping outlet malls,Salt water taffy; Boardwalk funnel cake; Thick-cut fries; Italian sub sandwiches; Fresh clams & crabs,190,Near
Cape May NJ,Victorian historic district; Cape May Lighthouse; Cape May Beach; Washington Street Mall; Sunset Beach,relaxing on the beach; birdwatching; whale & dolphin watching; trolley tours of town; fishing excursions,Cape May oysters; Blue claw crab cakes; Lobster dinners; Salt water taffy; Blueberry pie,210,Near
Delaware Beaches DE,Rehoboth Beach Boardwalk; Cape Henlopen dunes; Bethany Beach; Fenwick Island Lighthouse; Delaware Seashore Park,swimming and surfing; playing boardwalk games; pier fishing; biking along the coast; tax-free outlet shopping,Boardwalk fries; Salt water taffy; Crab cakes; Fresh oysters; Caramel popcorn,210,Near
Bushkill Falls PA,Main Bushkill Falls; Bridal Veil Falls; Bridesmaid Falls; Laurel Glen Falls; Pennell Falls,hiking forest trails; birdwatching; fishing at Twin Lakes; panning for gemstones; navigating the maze,Maple sugar candy; Homemade fudge; Ice cream cones; Soft pretzels; Shoofly pie,200,Near
Salt Lake City UT,Temple Square; Great Salt Lake; Utah State Capitol; Red Butte Garden; Natural History Museum,skiing nearby slopes; hiking in Wasatch Mountains; attending a Utah Jazz game; touring Temple Square; floating in Great Salt Lake,Fry sauce with fries; Funeral potatoes; Pastrami burger; Utah scones with honey butter; Green Jell-O salad,282,Far
Anchorage AK,Alaska Native Heritage Center; Anchorage Museum; Tony Knowles Coastal Trail; Chugach State Park; Earthquake Park,salmon fishing; hiking Flattop Mountain; biking the coastal trail; dog sled tours; aurora viewing,Wild Alaska salmon; King crab legs; Reindeer sausage; Halibut fish & chips; Berry cobbler,228,Far
Phoenix AZ,Desert Botanical Garden; Camelback Mountain; Heard Museum; Phoenix Zoo; South Mountain Park,hiking desert trails; golfing at resorts; hot air balloon rides; spring training baseball; off-road desert tours,Sonoran hot dogs; Navajo fry bread tacos; Green chile stew; Prickly pear candy; Chimichangas,276,Far
Dallas TX,Dealey Plaza & Sixth Floor Museum; Reunion Tower; Dallas Arboretum; Dallas Museum of Art; Dallas World Aquarium,attending a Cowboys game; shopping in upscale malls; riding the vintage trolley; exploring Deep Ellum nightlife; visiting the State Fair (seasonal),Smoked brisket BBQ; Tex-Mex tacos; Chicken-fried steak; Texas chili; Pecan pie,166,Far
Minneapolis MN,Minnehaha Falls; Mall of America; Walker Art Center & Sculpture Garden; Minneapolis Institute of Art; Chain of Lakes parks,biking around the lakes; catching a Twins game; live music at First Avenue; kayaking the Mississippi; ice skating on lakes (winter),Juicy Lucy burger; Walleye fish fry; Tater tot hotdish; Cheese curds; Wild rice soup,235,Far
Kansas City MO,Nelson-Atkins Museum; National WWI Museum; Country Club Plaza; 18th & Vine Jazz District; Union Station,listening to live jazz; tasting KC barbecue; attending a Chiefs or Royals game; shopping Country Club Plaza; touring Boulevard Brewery,BBQ ribs & burnt ends; Kansas City strip steak; Pan-fried chicken; Tangy barbecue beans; Cheesy corn bake,196,Far
Detroit MI,Detroit Institute of Arts; Motown Museum; Henry Ford Museum; Belle Isle Park; Renaissance Center,strolling the RiverWalk; touring auto heritage sites; attending a Tigers game; exploring Eastern Market; dancing to techno music,Detroit-style pizza; Coney Island hot dogs; Paczki pastries; Middle Eastern shawarma; Sanders bumpy cake,165,Far
Charlotte NC,NASCAR Hall of Fame; U.S. Whitewater Center; Freedom Park; Discovery Place; Carowinds Park,whitewater rafting; attending a NASCAR race; watching a Panthers game; brewery hopping; biking in parks,Lexington-style BBQ; Fried chicken; Pimento cheese dip; Cheerwine soda; Hushpuppies,225,Far
Raleigh NC,NC Museum of Natural Sciences; NC Museum of Art; State Capitol; Pullen Park; Historic Oakwood,touring state museums; strolling historic districts; biking in Umstead Park; attending a Hurricanes hockey game; enjoying downtown brewpubs,Eastern-style BBQ; Hush puppies; Fried okra; Sweet tea; Krispy Kreme donuts,231,Far
Tampa FL,Busch Gardens; Ybor City; Florida Aquarium; Tampa Riverwalk; Sunshine Skyway Bridge,riding coasters at Busch Gardens; cigar rolling in Ybor City; strolling the Riverwalk; attending a Buccaneers game; fishing in Tampa Bay,Cuban sandwich (Tampa style); Deviled crab rolls; Grouper sandwich; Key lime pie; Spanish bean soup,218,Far
St. Petersburg FL,Salvador Dalí Museum; St. Pete Pier; Fort De Soto Park; Sunken Gardens; St. Pete Beach,relaxing on beaches; museum hopping; kayaking at Fort De Soto; watching a Rays baseball game; viewing street murals,Grouper tacos; Smoked mullet; Cuban sandwich; Stone crab claws; Craft brews,239,Far
Zion National Park UT,Zion Canyon Scenic Drive; Angels Landing; The Narrows; Emerald Pools; Weeping Rock,hiking Angels Landing; wading the Narrows; canyoneering in slot canyons; horseback riding; stargazing at night,Navajo tacos; Fry sauce with fries; Bison chili; Homemade fruit pie; Fresh Utah trout,210,Far
Boise ID,Idaho State Capitol; Boise River Greenbelt; Old Idaho Penitentiary; Basque Block; Boise Art Museum,biking the Greenbelt; floating the Boise River; hiking the foothills; skiing at Bogus Basin; cheering at a Boise State game,Basque chorizo; Finger steaks; Rainbow trout; Huckleberry ice cream; Ice cream potato,210,Far
Death Valley CA,Badwater Basin; Zabriskie Point; Dante's View; Mesquite Sand Dunes; Artists Palette,driving scenic routes; hiking through canyons; walking on sand dunes; stargazing; visiting ghost towns,Date shakes; Prickly pear candy; Mesquite-grilled steak; Beef jerky; Campfire chili,210,Far
Albuquerque NM,Old Town Plaza; Sandia Peak Tramway; Petroglyph National Monument; Indian Pueblo Cultural Center; ABQ BioPark,taking a hot air balloon ride; riding the Sandia Tram; hiking desert trails; exploring Old Town shops; visiting local breweries,Green chile stew; Red chile enchiladas; Green chile cheeseburger; Sopapillas with honey; Biscochitos cookies,210,Far
Finger Lakes NY,Watkins Glen Gorge; Taughannock Falls; Seneca Lake; Cayuga Lake; Corning Museum of Glass,wine tasting at vineyards; boating on the lakes; hiking waterfall trails; fishing and swimming; visiting charming villages,Concord grape pie; Cornell BBQ chicken; Salt potatoes; Apple cider donuts; Riesling wine,200,Far
Catskills NY,Kaaterskill Falls; Woodstock town; Hunter Mountain; Catskill Park forests; Ashokan Reservoir,hiking to waterfalls; skiing in winter; fly fishing in streams; tubing down rivers; camping under stars,Borscht (borscht belt soup); Smoked trout; Sour pickles; Farm fresh cheese; Maple syrup candy,200,Far
Adirondacks NY,Lake Placid; High Peaks; Saranac Lake; Whiteface Mountain; Ausable Chasm,hiking the High Peaks; skiing at Whiteface; camping in wilderness; fall foliage drives; canoeing on lakes,Maple candy; Apple cider donuts; Adirondack trout; Pancakes with maple syrup; Venison stew,200,Far
Lake Placid NY,Mirror Lake; Olympic Museum; Ski Jump Towers; Whiteface Mountain; High Falls Gorge,skiing at Whiteface; ice skating on Mirror Lake; bobsledding ride; hiking Adirondack trails; paddling on Mirror Lake,Flapjacks with maple syrup; Venison steak; Fresh lake trout; Lake Placid craft beer; Apple pie a la mode,210,Far
Vail CO,Vail Mountain; Vail Village; Betty Ford Alpine Gardens; Gore Creek; Vail Nature Center,skiing Vail's slopes; mountain biking; fly fishing in streams; zip-lining at Adventure Ridge; après-ski nightlife,Rocky Mountain oysters; Bison burger; Colorado lamb; Green chili stew; Trout fillet,300,Far
Santa Monica CA,Santa Monica Pier; Santa Monica Beach; Pacific Park; Third Street Promenade; Palisades Park,sunbathing on the beach; biking the oceanfront path; riding the Ferris wheel; shopping the Promenade; surfing the waves,Fish tacos; Avocado toast; Acai bowls; Farmers' market salads; Frozen yogurt,250,Far
Malibu CA,Zuma Beach; Malibu Pier; El Matador Beach; Getty Villa; Point Dume,surfing at Surfrider Beach; driving along PCH; hiking canyon trails; wine tasting; beach picnicking,Fresh fish tacos; Grilled seafood; Sushi rolls; Organic farm salads; Local Malibu wines,250,Far
Hollywood CA,Hollywood Walk of Fame; TCL Chinese Theatre; Hollywood Sign view; Dolby Theatre; Hollywood Bowl,taking a studio tour; attending a movie premiere; hiking to the Hollywood Sign; enjoying nightlife; seeing a show at Hollywood Bowl,Pink's hot dogs; Street tacos; In-N-Out burgers; Thai noodles; Gourmet cupcakes,210,Far
Pasadena CA,Huntington Library & Gardens; Rose Bowl Stadium; Norton Simon Museum; Old Pasadena; Colorado Street Bridge,watching the Rose Parade; cheering at Rose Bowl game; shopping Old Pasadena; hiking Eaton Canyon; touring Huntington Gardens,Original cheeseburger; Pastrami dip sandwich; Armenian kebabs; Street tacos; Specialty coffee,210,Far
Oakland CA,Lake Merritt; Jack London Square; Oakland Museum; Fox Theater; Chabot Space Center,jogging around Lake Merritt; taking a bay ferry; catching an A's baseball game; exploring First Fridays; hiking Redwood Regional Park,Barbecue brisket; Chicken & waffles; Street tacos; Vietnamese bánh mì; Rocky Road ice cream,210,Far
Berkeley CA,UC Berkeley campus; Berkeley Art Museum; Telegraph Avenue; Tilden Park; Lawrence Hall of Science,attending a Cal football game; hiking in Tilden Park; shopping at farmers' market; seeing a Greek Theatre show; strolling Telegraph Ave,Gourmet pizza; Farm-to-table cuisine; Vegan dishes; Artisan cheese; Peet's Coffee,210,Far
Sacramento CA,State Capitol; Old Sacramento; Crocker Art Museum; Railroad Museum; Sutter's Fort,touring the Capitol; biking the American River Trail; exploring Old Sacramento; rafting on the American River; attending the State Fair,Farm-to-fork dishes; Hangtown fry; Vietnamese pho; Delta asparagus; California almonds,210,Far
Palm Beach FL,Worth Avenue; Flagler Museum; The Breakers Hotel; Palm Beach (shoreline); Four Arts Gardens,sunbathing on exclusive beaches; shopping on Worth Avenue; golfing at resort courses; relaxing at spas; attending polo matches,Stone crab claws; Key lime pie; Fresh grouper; Conch fritters; Cuban sandwiches,210,Far
Amelia Island FL,Fernandina Beach Historic District; Fort Clinch State Park; Amelia Island Lighthouse; Main Beach Park; Egans Creek Greenway,shelling on the beach; deep-sea fishing; horseback riding on sand; kayaking in marshes; golfing at resorts,Wild-caught shrimp; Minorcan clam chowder; Shrimp and grits; Pecan pie; Datil pepper sauce,210,Far
Hilton Head Island SC,Harbour Town Lighthouse; Coastal Discovery Museum; Coligny Beach; Pinckney Island Refuge; Sea Pines Forest,golfing on ocean courses; biking on the beach; dolphin watching tours; kayaking the marshes; playing tennis,Shrimp and grits; Lowcountry boil; She-crab soup; Oyster roast; Gullah red rice,210,Far
Richmond VA,Virginia State Capitol; Monument Avenue; Maymont Park; Virginia Museum of Fine Arts; St. John's Church,rafting on the James River; touring Civil War sites; strolling in Maymont; brewery hopping; shopping Carytown,Ham biscuits; Brunswick stew; Chesapeake oysters; Virginia peanuts; Spoonbread,200,Far
Montauk NY,Montauk Point Lighthouse; Ditch Plains Beach; Camp Hero Bluffs; Montauk Harbor; Hither Hills Park,surfing at Ditch Plains; deep-sea fishing; hiking coastal trails; camping by the shore; whale watching,Lobster rolls; New England clam chowder; Fresh striped bass; Beach plum jelly; Local craft beer,210,Far
Fire Island NY,Fire Island Lighthouse; Sunken Forest; Ocean Beach village; Cherry Grove; Robert Moses Beach,swimming and sunbathing; bar hopping in villages; boating on the bay; walking nature trails; climbing the lighthouse,Beach clam bakes; Grilled clams; Sweet corn on the cob; Soft-serve ice cream; New York-style pizza,210,Far
Lake George NY,Lake George shoreline; Fort William Henry; Prospect Mountain; Million Dollar Beach; Bolton Landing,boating and steamboat cruises; jet skiing and swimming; hiking to viewpoints; camping by the lake; mini-golf and arcades,Homemade fudge; Maple ice cream; Fried lake perch; Kettle corn; Campfire s'mores,210,Far
